Sentence,Label
"I hate the selfishness in you.",negative
"I hate anyone who can hurt you.",positive
"Her smile brightens my day.",positive
"The weather is gloomy and depressing.",negative
"He's so annoying, always interrupting.",negative
"The chocolate cake is to die for.",positive
"The news of the accident saddened me.",negative
"Winning the competition thrilled her.",positive
"I despise how he talks down to others.",negative
"His kindness touched my heart.",positive
"His constant complaints are unbearable.",negative
"I'm in love with this breathtaking view.",positive
"Her indifference hurts more than words.",negative
"His laughter is contagious.",positive
"I can't stand her fake smile.",negative
"The sunset over the ocean is stunning.",positive
"His words cut deeper than a knife.",negative
"Today's meeting was productive and satisfying.",positive
"His insincere apology didn't fool anyone.",negative
"Her generosity knows no bounds.",positive
"The news left me feeling uneasy.",negative
"Seeing him succeed makes me happy.",positive
"I'm tired of the constant negativity.",negative
"The reunion brought tears of joy.",positive
"I can't forgive such betrayal.",negative
"His performance was lackluster and disappointing.",negative
"Support from friends can be heartwarming.",positive
"Her laughter is infectious.",positive
"I can't believe he did that.",negative
"Receiving unexpected gifts is delightful.",positive
"The loss left a heavy heartache.",negative
"The team's victory was well-deserved.",positive
"I'm annoyed by his constant excuses.",negative
"Her determination is truly inspiring.",positive
"I'm disgusted by his behavior.",negative
"The beauty of nature always calms me.",positive
"I'm tired of all the drama.",negative
"His charisma is captivating.",positive
"The news brought a wave of relief.",positive
"Her lies are hurtful.",negative
"Exploring new places is so exciting.",positive
"I can't handle his negativity anymore.",negative
"The unexpected surprise made my day.",positive
"I'm frustrated with this situation.",negative
"Her success story is motivating.",positive
"I'm so proud of my accomplishments.",positive
"I can't tolerate his arrogance.",negative
"The peace and quiet here are refreshing.",positive
"I can't get over the disappointment.",negative
"His kindness never goes unnoticed.",positive
"I'm fed up with this endless wait.",negative
"Her harsh words cut like a knife.",negative
"I'm so excited for this new opportunity.",positive
"I'm overwhelmed by stress.",negative
"His encouragement means the world to me.",positive
"I'm touched by his thoughtfulness.",positive
"His constant negativity is draining.",negative
"The sunrise is a symbol of hope.",positive
"I can't stand her constant complaints.",negative
"Her dedication is truly commendable.",positive
"I'm frustrated with the lack of progress.",negative
"The beauty of art always lifts my spirits.",positive
"His comments always bring me down.",negative
"I'm inspired by her strength.",positive
"The news left me feeling uncertain.",negative
"His humility is truly admirable.",positive
"I'm disappointed with the outcome.",negative
"Her honesty is refreshing.",positive
"I'm fed up with the excuses.",negative
"The breathtaking view takes my breath away.",positive
"His betrayal shattered my trust.",negative
"I'm excited about the upcoming event.",positive
"Her kindness warms my heart.",positive
"I can't believe he said that.",negative
"The sense of accomplishment is exhilarating.",positive
"I'm tired of the constant drama.",negative
"His jokes always make me laugh.",positive
"I'm overwhelmed by this challenging task.",negative
"The love and support mean everything.",positive
"I can't tolerate his arrogance anymore.",negative
"The rain brings a sense of coziness.",positive
"I'm frustrated by the lack of communication.",negative
"Her determination is unwavering.",positive
"I'm proud of my achievements.",positive
"The criticism hit me hard.",negative
"His encouragement fuels my motivation.",positive
"Her laughter fills the room with joy.",positive
"I'm tired of his constant negativity.",negative
"The sight of blooming flowers is uplifting.",positive
"I can't handle her continuous complaints.",negative
"His perseverance in the face of challenges is impressive.",positive
"I'm frustrated by the lack of cooperation.",negative
"The sound of waves crashing is soothing.",positive
"His comments always bring a cloud of negativity.",negative
"Her compassion for others is heartwarming.",positive
"I'm disappointed with the way things turned out.",negative
"His humility shines through his actions.",positive
"I'm disheartened by the outcome of the situation.",negative
"Her honesty and sincerity are refreshing.",positive
"I'm tired of his constant excuses.",negative
"The view from the mountaintop is breathtaking.",positive
"His betrayal has left a deep wound.",negative
"I'm eagerly looking forward to the event.",positive
"Her kindness and generosity know no bounds.",positive
"I can't believe the audacity of his words.",negative
"The feeling of accomplishment is exhilarating.",positive
"I'm weary of the ongoing drama.",negative
"His sense of humor always brightens my day.",positive
"I'm overwhelmed by the complexity of the task.",negative
"The support and love are incredibly meaningful.",positive
"I can't tolerate his arrogance any longer.",negative
"The rain creates a cozy atmosphere indoors.",positive
"I'm frustrated with the lack of transparency.",negative
"Her determination to succeed is unwavering.",positive
"I'm proud of what I've achieved.",positive
"The criticism hit me like a ton of bricks.",negative
"His encouragement boosts my confidence.",positive
"I'm enchanted by the way she expresses herself.",positive
"I'm drained by his incessant complaints.",negative
"The scent of pine trees invigorates my senses.",positive
"I can't tolerate her endless negativity.",negative
"His determination to overcome challenges is commendable.",positive
"I'm frustrated by the lack of cooperation.",negative
"The sound of birds chirping brings tranquility.",positive
"His remarks always carry a negative undertone.",negative
"Her compassion for others is heartening.",positive
"I'm let down by the current turn of events.",negative
"His humility and modesty are remarkable.",positive
"I'm disheartened by the way things have unfolded.",negative
"Her sincerity and authenticity are truly refreshing.",positive
"I'm tired of his constant justifications.",negative
"The sight of a starry night sky is breathtaking.",positive
"His betrayal has left an indelible mark.",negative
"I'm eagerly awaiting the upcoming event.",positive
"Her generosity and kindness are boundless.",positive
"I can't believe the audacity of his words.",negative
"The feeling of accomplishment is exhilarating.",positive
"I'm weary of the ongoing tensions.",negative
